Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:43:55 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:43:55 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:44:08 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:44:34 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:44:47 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:44:47 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:45:00 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:45:39 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:45:52 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:45:52 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:45:52 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:46:05 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:46:31 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:46:44 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:46:44 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:46:57 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:46:57 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:46:57 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:47:36 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:47:49 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:47:49 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:47:49 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:48:02 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1.04528463267653, Time 2/27/2021 10:48:28 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:48:41 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:48:54 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:48:54 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:48:54 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:49:07 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:49:33 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:49:46 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:49:46 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:49:59 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:49:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:49:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:50:38 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:50:51 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:50:51 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:50:51 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 10:51:04 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:51:30 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:51:43 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:51:43 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:51:56 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:51:56 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:51:56 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:52:30 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 10:52:43 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:52:43 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 10:52:56 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 10:52:56 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 10:52:56 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 8.91006524188368, Time 2/27/2021 10:53:09 AM
